Car_name,Model_year,Present_price,Cost_price,Reselling_price,Km_driven,Fuel,Seller,transmission,owner,Seats,Location,Mileage,Engine,Power
Hyundai Santro Era,2019,4.6,4.2,4.35,30000,Petrol,Individual,Manual,First Owner,5,Coimbatore,11.5 kmpl,2996 CC,367 bhp
Ford Endeavour 2.5L 4X2 MT,2011,4.2,3.8,3.95,54000,Diesel,Individual,Manual,Second Owner,5,Kolkata,21.1 kmpl,814 CC,55.2 bhp
Hyundai Verna 1.4 VTVT,2017,3.8,3.4,3.55,80577,Petrol,Individual,Manual,First Owner,5,Kochi,18.9 kmpl,1197 CC,81.86 bhp
Honda City i-DTEC V,2017,3.5,3.1,3.25,25000,Diesel,Individual,Manual,First Owner,5,Mumbai,13.0 kmpl,1493 CC,100 bhp
Hyundai Verna 1.6 CRDI,2011,6.5,6.1,6.25,127500,Diesel,Individual,Manual,Second Owner,5,Kolkata,16.47 kmpl,1198 CC,73.9 bhp
Hyundai EON D Lite Plus,2015,4.6,4.2,4.35,40903,Petrol,Dealer,Manual,First Owner,5,Mumbai,15.26 kmpl,1798 CC,187.74 bhp
Ford Figo Petrol Titanium,2011,5.8,5.4,5.55,60000,Petrol,Individual,Manual,Third Owner,5,Hyderabad,0.0 kmpl,1968 CC,null bhp
Maruti Wagon R VXI,2004,5.6,5.2,5.35,46000,Petrol,Individual,Manual,First Owner,5,Coimbatore,15.29 kmpl,1591 CC,121.3 bhp
Ford Endeavour 4x4 XLT,2004,7.6,7.2,7.35,22288,Diesel,Dealer,Manual,Second Owner,5,Mumbai,11.74 kmpl,1796 CC,186 bhp
Volkswagen Jetta 2.0 TDI Trendline,2011,7.6,7.2,7.35,180000,Diesel,Individual,Manual,Second Owner,4,Mumbai,16.82 kmpl,1998 CC,189.08 bhp
Volkswagen Polo 1.5 TDI Highline,2015,7.6,7.2,7.35,30000,Diesel,Individual,Manual,Second Owner,5,Pune,17.0 kmpl,1086 CC,null bhp
Hyundai Grand i10 Sportz,2015,5.6,5.2,5.35,61690,Petrol,Dealer,Manual,First Owner,5,Bangalore,23.59 kmpl,1364 CC,67.04 bhp
Hyundai i20 Asta 1.2,2015,7.8,7.4,7.55,64484,Petrol,Dealer,Manual,First Owner,5,Delhi,19.4 kmpl,1198 CC,86.8 bhp
Audi Q5 2.0 TDI,2012,7.8,7.4,7.55,90000,Diesel,Individual,Automatic,Second Owner,5,Coimbatore,21.4 kmpl,1197 CC,83.1 bhp
Renault Duster 85PS Diesel RxE,2013,6.5,6.1,6.25,75976,Diesel,Dealer,Manual,Second Owner,5,Coimbatore,20.0 kmpl,1968 CC,138.1 bhp
Ford Figo Diesel Titanium,2011,7.6,7.2,7.35,70000,Diesel,Individual,Manual,Second Owner,5,Kochi,21.1 kmpl,814 CC,55.2 bhp
Honda Brio E MT,2012,5.6,5.2,5.35,85962,Petrol,Dealer,Manual,Second Owner,5,Coimbatore,20.37 kmpl,1461 CC,108.45 bhp
Maruti Omni E MPI STD BS IV,2018,9.1,8.7,8.85,120000,Petrol,Individual,Manual,First Owner,5,Coimbatore,16.2 kmpl,2993 CC,258 bhp
Honda Mobilio V i DTEC,2015,11.2,10.8,10.95,120000,Diesel,Individual,Manual,First Owner,5,Kochi,22.74 kmpl,796 CC,47.3 bhp
Honda Brio S Option AT,2012,10,9.6,9.75,75000,Petrol,Individual,Automatic,Second Owner,5,Bangalore,16.8 kmpl,1984 CC,150 bhp
Honda Accord 2.4 MT,2009,13,12.6,12.75,57035,Petrol,Dealer,Manual,First Owner,5,Ahmedabad,18.9 kmpl,998 CC,67.1 bhp
Mahindra Bolero SLX,2011,15,14.6,14.75,70000,Diesel,Individual,Manual,Third Owner,5,Kolkata,17.7 kmpl,1497 CC,78 bhp
Ford Figo 1.2P Ambiente MT,2015,12,11.6,11.75,45000,Petrol,Individual,Manual,First Owner,5,Kochi,15.1 km/kg,1196 CC,73 bhp
Mahindra XUV500 W6 2WD,2013,11.2,10.8,10.95,72104,Diesel,Dealer,Manual,Second Owner,8,Kolkata,13.7 kmpl,1399 CC,98.79 bhp
Tata Nano Lx,2011,11.6,11.2,11.35,15000,Petrol,Individual,Manual,First Owner,7,Coimbatore,15.96 kmpl,2523 CC,62.1 bhp
Hyundai i20 Active 1.2 SX,2016,14,13.6,13.75,30000,Petrol,Individual,Manual,First Owner,5,Coimbatore,0.0 kmpl,1086 CC,null bhp
Tata Indigo LS Dicor,2011,15,14.6,14.75,80000,Diesel,Individual,Manual,First Owner,5,Hyderabad,21.1 kmpl,814 CC,55.2 bhp
Tata Indica Vista Terra 1.4 TDI,2009,14.3,13.9,14.05,164000,Diesel,Individual,Manual,Second Owner,5,Coimbatore,13.0 kmpl,1591 CC,121.3 bhp
Maruti Alto LX,2006,12.8,12.4,12.55,124439,Petrol,Individual,Manual,Second Owner,5,Mumbai,16.09 kmpl,1598 CC,103.5 bhp
Maruti Zen VXI,2006,13.6,13.2,13.35,77000,Petrol,Individual,Manual,Second Owner,5,Pune,12.9 kmpl,1799 CC,130 bhp
Maruti Swift Dzire VDI,2014,14.9,14.5,14.65,90000,Diesel,Individual,Manual,First Owner,5,Hyderabad,22.3 kmpl,1248 CC,74 bhp
Renault KWID 1.0 RXT Optional,2017,15,14.6,14.75,30000,Petrol,Individual,Manual,First Owner,7,Kochi,16.0 kmpl,2179 CC,140 bhp
Chevrolet Beat LS,2012,14.3,13.9,14.05,50000,Petrol,Individual,Manual,First Owner,5,Coimbatore,18.6 kmpl,1197 CC,81.83 bhp
Maruti Swift VDI,2012,14.5,14.1,14.25,80000,Diesel,Individual,Manual,Second Owner,5,Bangalore,14.16 kmpl,1968 CC,174.3 bhp
Maruti Alto 800 LXI,2018,13.7,13.3,13.45,5000,Petrol,Individual,Manual,First Owner,5,Chennai,18.5 kmpl,1197 CC,85.80 bhp
Maruti Wagon R AMT VXI,2018,14.7,14.3,14.45,24000,Petrol,Individual,Automatic,First Owner,5,Chennai,13.17 kmpl,1999 CC,114 bhp
Tata Tiago NRG Petrol,2019,14.6,14.2,14.35,10000,Petrol,Individual,Manual,First Owner,7,Hyderabad,12.8 kmpl,2494 CC,102 bhp
Maruti Ertiga SHVS VDI,2016,2.9,2.5,2.65,78000,Diesel,Individual,Manual,Third Owner,5,Hyderabad,27.62 kmpl,793 CC,47 bhp
Mahindra TUV 300 T4 Plus,2018,11.4,11,11.15,50000,Diesel,Individual,Manual,First Owner,5,Delhi,25.1 kmpl,1248 CC,88.5 bhp
Maruti 800 AC BSII,2001,12.4,12,12.15,100000,Petrol,Individual,Manual,Second Owner,5,Coimbatore,15.17 kmpl,1968 CC,181 bhp
Maruti Omni MPI STD BSIV,2018,5.8,5.4,5.55,20000,Petrol,Individual,Manual,First Owner,5,Bangalore,21.76 kmpl,1995 CC,190 bhp
Hyundai Santro Magna BSIV,2019,6.7,6.3,6.45,1250,Petrol,Individual,Manual,First Owner,7,Coimbatore,11.33 kmpl,4134 CC,335.2 bhp
Tata Zest Revotron 1.2 XT,2015,4.9,4.5,4.65,17152,Petrol,Individual,Manual,First Owner,5,Pune,18.6 kmpl,1197 CC,81.83 bhp
Mahindra XUV500 W11 Option AT AWD,2019,3.8,3.4,3.55,5000,Diesel,Individual,Automatic,First Owner,5,Hyderabad,19.01 kmpl,1461 CC,108.45 bhp
Volkswagen Polo Diesel Trendline 1.2L,2012,5.7,5.3,5.45,77000,Diesel,Individual,Manual,First Owner,5,Pune,24.4 kmpl,1120 CC,71 bhp
Hyundai Verna CRDi,2008,6.8,6.4,6.55,90000,Diesel,Individual,Manual,Second Owner,5,Delhi,22.7 kmpl,1498 CC,89.84 bhp
Chevrolet Beat LS,2011,5.3,4.9,5.05,80000,Petrol,Individual,Manual,Second Owner,5,Hyderabad,16.47 kmpl,1198 CC,73.9 bhp
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,6.7,6.3,6.45,65000,Diesel,Individual,Manual,First Owner,5,Kolkata,24.0 kmpl,1120 CC,70 bhp
Tata Indica Vista Quadrajet LX,2011,6.6,6.2,6.35,80000,Diesel,Individual,Manual,First Owner,5,Ahmedabad,21.12 kmpl,1248 CC,88.8 bhp
Hyundai EON Era Plus,2013,5.5,5.1,5.25,24005,Petrol,Individual,Manual,First Owner,5,Kolkata,17.0 kmpl,1497 CC,118 bhp
Maruti Vitara Brezza ZDi Plus,2018,6.7,6.3,6.45,20000,Diesel,Individual,Manual,First Owner,5,Bangalore,17.92 kmpl,1086 CC,62.1 bhp
Renault Duster 85PS Diesel RxL,2014,8.7,8.3,8.45,120000,Diesel,Individual,Manual,First Owner,7,Hyderabad,12.99 kmpl,2494 CC,100 bhp
Hyundai i10 Era 1.1,2009,6.7,6.3,6.45,120000,Petrol,Individual,Manual,Second Owner,5,Coimbatore,28.09 kmpl,1248 CC,88.5 bhp
Maruti Swift Dzire ZDI,2015,7.2,6.8,6.95,80000,Diesel,Individual,Manual,First Owner,7,Delhi,12.55 kmpl,2982 CC,169 bhp
Maruti Swift 1.3 VXi,2005,4.8,4.4,4.55,80000,Petrol,Individual,Manual,First Owner,5,Chennai,15.3 kmpl,1596 CC,null bhp
Renault Duster 110PS Diesel RxZ,2012,6.3,5.9,6.05,100000,Diesel,Individual,Manual,First Owner,5,Kochi,12.6 kmpl,1950 CC,191.34 bhp
Maruti Alto LX,2009,4.8,4.4,4.55,120000,Petrol,Individual,Manual,Second Owner,5,Chennai,15.8 kmpl,2148 CC,170 bhp
Ford Figo Diesel ZXI,2011,7.5,7.1,7.25,149000,Diesel,Individual,Manual,Second Owner,5,Kolkata,17.72 kmpl,1968 CC,108.49 bhp
Maruti Wagon R LXI BSIII,2005,4.7,4.3,4.45,65000,Petrol,Individual,Manual,Second Owner,5,Delhi,18.9 kmpl,1197 CC,82 bhp
Maruti Swift Ldi BSIV,2009,7.3,6.9,7.05,100000,Diesel,Individual,Manual,Second Owner,5,Hyderabad,18.16 kmpl,1196 CC,86.8 bhp
Volkswagen Vento Diesel Highline,2011,9.4,9,9.15,65000,Diesel,Individual,Manual,Second Owner,5,Mumbai,16.8 kmpl,1395 CC,138.02 bhp
Datsun GO Plus T Option BSIV,2018,8.1,7.7,7.85,19000,Petrol,Individual,Manual,Second Owner,5,Mumbai,19.87 kmpl,1461 CC,83.8 bhp
Chevrolet Beat LT,2010,3.6,3.2,3.35,80000,Petrol,Individual,Manual,Second Owner,5,Delhi,15.68 kmpl,1999 CC,177 bhp
Maruti Alto K10 VXI Airbag,2015,11,10.6,10.75,30000,Petrol,Individual,Manual,First Owner,5,Chennai,20.0 kmpl,1399 CC,68 bhp
Maruti Swift VDI,2012,4.5,4.1,4.25,109000,Diesel,Individual,Manual,First Owner,7,Hyderabad,12.8 kmpl,2953 CC,156 bhp
Hyundai EON LPG Magna Plus,2012,7.2,6.8,6.95,90000,LPG,Individual,Manual,First Owner,7,Coimbatore,12.55 kmpl,2982 CC,168.5 bhp
Maruti Alto LX,2012,7.4,7,7.15,90000,Petrol,Individual,Manual,First Owner,5,Kolkata,22.07 kmpl,1199 CC,73.9 bhp
Volkswagen Vento Diesel Highline,2011,6.5,6.1,6.25,65000,Diesel,Individual,Manual,Second Owner,5,Jaipur,23.2 kmpl,1248 CC,73.94 bhp
Maruti Swift Vdi BSIII,2010,5.6,5.2,5.35,110000,Diesel,Individual,Manual,Second Owner,5,Pune,23.08 kmpl,1461 CC,63.1 bhp
Mahindra Bolero DI DX 7 Seater,2007,6.5,6.1,6.25,120000,Diesel,Individual,Manual,First Owner,5,Kolkata,22.32 kmpl,1582 CC,126.32 bhp
Honda Mobilio V i DTEC,2014,4.6,4.2,4.35,44000,Diesel,Individual,Manual,First Owner,5,Kolkata,10.8 kmpl,2497 CC,150 bhp
Maruti Ertiga BSIV ZXI,2015,6.5,6.1,6.25,80000,Petrol,Individual,Manual,First Owner,7,Pune,11.0 kmpl,2987 CC,258 bhp
Honda BR-V i-VTEC S MT,2018,4.5,4.1,4.25,5000,Petrol,Individual,Manual,First Owner,5,Hyderabad,12.0 kmpl,2354 CC,187.4 bhp
Hyundai i20 Magna 1.2,2016,4.7,4.3,4.45,61000,Petrol,Individual,Manual,First Owner,5,Bangalore,17.01 kmpl,1582 CC,126.2 bhp
Toyota Etios VD,2011,8.6,8.2,8.35,100000,Diesel,Individual,Manual,Second Owner,5,Jaipur,19.81 kmpl,1086 CC,68.05 bhp
Hyundai i10 Era 1.1,2009,5.7,5.3,5.45,27633,Petrol,Individual,Manual,First Owner,5,Kochi,20.0 kmpl,2143 CC,136 bhp
Maruti Swift Vdi BSIII,2010,4.6,4.2,4.35,100000,Diesel,Individual,Manual,Third Owner,7,Jaipur,16.02 kmpl,1373 CC,93.7 bhp
Hyundai Santro Xing GLS Audio LPG,2012,6.3,5.9,6.05,100000,LPG,Individual,Manual,First Owner,5,Chennai,18.7 kmpl,1896 CC,66 bhp
Ford Figo 1.2P Titanium MT,2019,8.2,7.8,7.95,12586,Petrol,Dealer,Manual,First Owner,5,Pune,18.0 kmpl,1198 CC,86.7 bhp
Fiat Avventura Urban Cross 1.3 Multijet Emotion,2018,9.7,9.3,9.45,38083,Diesel,Dealer,Manual,First Owner,5,Chennai,17.3 kmpl,993 CC,60 bhp
Ford Figo Diesel ZXI,2012,4.6,4.2,4.35,55328,Diesel,Dealer,Manual,First Owner,5,Kochi,15.5 kmpl,1586 CC,103.3 bhp
Ford Figo Diesel Titanium,2012,5.4,5,5.15,81632,Diesel,Dealer,Manual,First Owner,5,Mumbai,16.5 kmpl,1198 CC,86.8 bhp
Ford Aspire Titanium Diesel BSIV,2016,5.59,5.19,5.34,155201,Diesel,Dealer,Manual,First Owner,5,Ahmedabad,18.9 kmpl,998 CC,67.1 bhp
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,9.54,9.14,9.29,93283,Diesel,Dealer,Manual,First Owner,5,Mumbai,12.1 kmpl,2362 CC,164.7 bhp
Maruti Swift Ldi BSIII,2009,9.85,9.45,9.6,217871,Diesel,Dealer,Manual,First Owner,5,Kochi,18.6 kmpl,1199 CC,79.4 bhp
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,4.15,3.75,3.9,90165,Diesel,Dealer,Manual,First Owner,7,Delhi,12.55 kmpl,2982 CC,168.5 bhp
Ford Ecosport 1.5 DV5 MT Titanium,2014,6.87,6.47,6.62,101504,Diesel,Dealer,Manual,First Owner,5,Mumbai,22.7 kmpl,1498 CC,89.84 bhp
Ford Figo Titanium Diesel BSIV,2010,9.83,9.43,9.58,86017,Diesel,Dealer,Manual,Second Owner,5,Hyderabad,17.8 kmpl,1248 CC,75 bhp
Mahindra XUV500 W8 2WD,2013,8.12,7.72,7.87,85036,Diesel,Dealer,Manual,Second Owner,5,Pune,13.5 kmpl,2987 CC,282 bhp
Ford Ikon 1.3L Rocam Flair,2006,8.61,8.21,8.36,91086,Petrol,Dealer,Manual,Second Owner,7,Mumbai,17.3 kmpl,1497 CC,117.3 bhp
Fiat Punto 1.3 Emotion,2013,8.89,8.49,8.64,160254,Diesel,Dealer,Manual,Second Owner,5,Mumbai,18.9 kmpl,1197 CC,82 bhp
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,8.92,8.52,8.67,125531,Diesel,Dealer,Manual,Second Owner,7,Bangalore,16.0 kmpl,2179 CC,140 bhp
Honda WR-V i-DTEC V,2019,3.6,3.2,3.35,60000,Diesel,Individual,Manual,First Owner,5,Pune,14.83 kmpl,1598 CC,105 bhp
Skoda Laura L n K 1.9 PD,2006,10.38,9.98,10.13,100000,Diesel,Individual,Manual,First Owner,5,Hyderabad,17.92 kmpl,1086 CC,62.1 bhp
Maruti Ritz LDi,2013,9.94,9.54,9.69,90000,Diesel,Individual,Manual,Third Owner,5,Kochi,15.29 kmpl,1591 CC,121.3 bhp
Mahindra Xylo D2,2009,7.71,7.31,7.46,120000,Diesel,Individual,Manual,Second Owner,7,Delhi,15.4 kmpl,1997 CC,120 bhp
Honda City i DTEC S,2014,7.21,6.81,6.96,82000,Diesel,Individual,Manual,First Owner,5,Pune,20.5 kmpl,1598 CC,103.5 bhp
Mahindra Scorpio 1.99 S4,2016,10.79,10.39,10.54,60000,Diesel,Individual,Manual,First Owner,5,Coimbatore,19.01 kmpl,1461 CC,108.45 bhp
Maruti Baleno Alpha 1.2,2019,10.79,10.39,10.54,24000,Petrol,Individual,Manual,First Owner,5,Hyderabad,11.7 kmpl,2993 CC,245 bhp
Tata Indigo Grand Dicor,2014,10.79,10.39,10.54,120000,Diesel,Individual,Manual,First Owner,5,Coimbatore,17.6 kmpl,1496 CC,88.73 bhp
Honda Amaze EX i-Dtech,2013,5.09,4.69,4.84,65000,Diesel,Dealer,Manual,First Owner,5,Ahmedabad,22.5 kmpl,998 CC,67.04 bhp
Maruti Swift VDI,2013,7.98,7.58,7.73,65000,Diesel,Dealer,Manual,First Owner,5,Chennai,15.8 kmpl,1591 CC,121.3 bhp
Hyundai Creta 1.6 CRDi SX Plus,2015,3.95,3.55,3.7,84000,Diesel,Dealer,Manual,First Owner,5,Jaipur,23.1 kmpl,998 CC,67.04 bhp
Toyota Etios GD SP,2013,5.71,5.31,5.46,75000,Diesel,Dealer,Manual,First Owner,5,Coimbatore,12.7 kmpl,2179 CC,187.7 bhp
Maruti Swift VDI,2007,8.01,7.61,7.76,50000,Diesel,Dealer,Manual,First Owner,5,Pune,18.6 kmpl,1199 CC,76.8 bhp
Maruti Alto LX,2011,3.46,3.06,3.21,50000,Petrol,Individual,Manual,First Owner,4,Ahmedabad,25.4 kmpl,624 CC,37.5 bhp
Maruti Wagon R LXI Minor,2007,4.41,4.01,4.16,49000,Petrol,Dealer,Manual,First Owner,5,Coimbatore,17.68 kmpl,1968 CC,174.33 bhp
Maruti SX4 S Cross DDiS 320 Delta,2016,4.99,4.59,4.74,560000,Diesel,Dealer,Manual,First Owner,5,Kochi,11.0 kmpl,2987 CC,198.5 bhp
Renault KWID RXT,2015,5.87,5.47,5.62,14365,Petrol,Dealer,Manual,First Owner,5,Kochi,22.0 kmpl,1197 CC,81.80 bhp
Toyota Fortuner 2.8 4WD AT BSIV,2017,6.49,6.09,6.24,41000,Diesel,Individual,Automatic,First Owner,5,Coimbatore,14.6 kmpl,1368 CC,112 bhp
Hyundai Verna 1.6 SX,2013,3.95,3.55,3.7,65000,Diesel,Dealer,Manual,First Owner,5,Kochi,20.4 kmpl,1197 CC,81.80 bhp
Maruti Ciaz VDi Option SHVS,2015,10.38,9.98,10.13,65000,Diesel,Dealer,Manual,First Owner,7,Hyderabad,11.5 kmpl,2982 CC,171 bhp
Maruti Swift Dzire VDI,2013,5.98,5.58,5.73,61083,Diesel,Dealer,Manual,First Owner,7,Mumbai,16.02 kmpl,1373 CC,93.7 bhp
Toyota Innova 2.5 VX (Diesel) 8 Seater,2013,4.89,4.49,4.64,75000,Diesel,Individual,Manual,First Owner,5,Coimbatore,12.05 kmpl,1995 CC,154 bhp
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,2012,7.49,7.09,7.24,72000,Diesel,Dealer,Manual,First Owner,7,Jaipur,16.02 kmpl,1373 CC,93.7 bhp
Renault Duster 110PS Diesel RxL,2014,9.95,9.55,9.7,65000,Diesel,Dealer,Manual,First Owner,5,Mumbai,16.8 kmpl,1497 CC,118 bhp
Hyundai Tucson 2.0 e-VGT 2WD MT,2017,8.06,7.66,7.81,55000,Diesel,Dealer,Manual,First Owner,7,Coimbatore,14.66 kmpl,2199 CC,194.3 bhp
Hyundai EON Era Plus,2015,7.74,7.34,7.49,21000,Petrol,Dealer,Manual,Second Owner,5,Jaipur,17.0 kmpl,1405 CC,70 bhp
Jaguar XF 5.0 Litre V8 Petrol,2012,7.2,6.8,6.95,66363,Petrol,Dealer,Automatic,Second Owner,5,Kolkata,10.93 kmpl,2497 CC,204 bhp
Hyundai Creta 1.6 VTVT AT SX Plus,2018,2.28,1.88,2.03,11700,Petrol,Dealer,Automatic,First Owner,5,Hyderabad,19.3 kmpl,1248 CC,73.9 bhp
Hyundai Verna VTVT 1.6 AT SX Option,2017,3.76,3.36,3.51,10000,Petrol,Individual,Automatic,First Owner,5,Hyderabad,17.8 kmpl,1399 CC,67 bhp
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,7.98,7.58,7.73,100000,Diesel,Individual,Automatic,Second Owner,5,Coimbatore,18.0 kmpl,1497 CC,117.3 bhp
Maruti Swift ZXI BSIV,2016,7.87,7.47,7.62,7104,Petrol,Trustmark Dealer,Manual,First Owner,7,Delhi,13.0 kmpl,2982 CC,168.5 bhp
Maruti S-Cross Zeta DDiS 200 SH,2015,3.98,3.58,3.73,45974,Diesel,Trustmark Dealer,Manual,First Owner,5,Mumbai,18.0 kmpl,1198 CC,86.7 bhp
Hyundai Verna 1.6 VTVT SX,2015,7.15,6.75,6.9,55340,Petrol,Trustmark Dealer,Manual,First Owner,5,Delhi,22.54 kmpl,1396 CC,88.73 bhp
Volkswagen Polo GTI,2017,8.06,7.66,7.81,20000,Petrol,Dealer,Automatic,Second Owner,7,Bangalore,18.2 kmpl,1248 CC,73.8 bhp
Renault Pulse RxL,2015,2.69,2.29,2.44,61585,Diesel,Trustmark Dealer,Manual,First Owner,5,Kochi,0.0 kmpl,1950 CC,181.43 bhp
Maruti Celerio VXI AMT BSIV,2016,12.04,11.64,11.79,39415,Petrol,Trustmark Dealer,Automatic,Second Owner,5,Mumbai,12.6 kmpl,1586 CC,103.2 bhp
Honda Brio V MT,2014,4.89,4.49,4.64,29654,Petrol,Trustmark Dealer,Manual,First Owner,7,Mumbai,12.99 kmpl,2494 CC,100 bhp
Maruti Baleno Alpha 1.3,2016,4.15,3.75,3.9,64672,Diesel,Trustmark Dealer,Manual,First Owner,5,Ahmedabad,18.48 kmpl,1995 CC,177 bhp
Hyundai Creta 1.6 SX Automatic Diesel,2015,7.71,7.31,7.46,54634,Diesel,Trustmark Dealer,Automatic,Second Owner,5,Delhi,19.01 kmpl,1461 CC,108.45 bhp
Honda City i VTEC V,2015,9.29,8.89,9.04,66521,Petrol,Trustmark Dealer,Manual,First Owner,5,Coimbatore,20.68 kmpl,1995 CC,190 bhp
Toyota Innova Crysta 2.4 GX AT,2018,30.61,30.21,30.36,23974,Diesel,Dealer,Automatic,Second Owner,5,Kochi,17.7 kmpl,1497 CC,78 bhp
BMW 3 Series 320d Luxury Line,2016,30.61,30.21,30.36,43000,Diesel,Dealer,Automatic,First Owner,5,Delhi,28.09 kmpl,1248 CC,88.5 bhp
Renault Duster 85PS Diesel RxL,2013,19.77,19.37,19.52,1000,Diesel,Dealer,Manual,Second Owner,5,Pune,17.5 kmpl,1298 CC,85.8 bhp
Mercedes-Benz C-Class Progressive C 220d,2018,30.61,30.21,30.36,10000,Diesel,Dealer,Automatic,First Owner,7,Pune,15.1 kmpl,2179 CC,140 bhp
Audi A4 3.0 TDI Quattro,2013,10.21,9.81,9.96,86000,Diesel,Dealer,Automatic,First Owner,5,Ahmedabad,13.5 kmpl,1799 CC,130 bhp
BMW X5 xDrive 30d xLine,2019,15.04,14.64,14.79,30000,Diesel,Dealer,Automatic,First Owner,7,Pune,25.47 kmpl,1248 CC,88.50 bhp
Hyundai Creta 1.6 CRDi SX,2016,7.27,6.87,7.02,52600,Diesel,Individual,Manual,First Owner,5,Chennai,23.59 kmpl,1364 CC,67.04 bhp
Maruti SX4 Vxi BSIV,2012,18.54,18.14,18.29,110000,Petrol,Individual,Manual,Second Owner,2,Delhi,9.9 kmpl,1984 CC,207.8 bhp
Hyundai Grand i10 1.2 Kappa Magna AT,2017,6.8,6.4,6.55,19890,Petrol,Dealer,Automatic,First Owner,5,Hyderabad,21.13 kmpl,1498 CC,108.4 bhp
Maruti Swift ZXI BSIV,2016,35.96,35.56,35.71,7104,Petrol,Trustmark Dealer,Manual,First Owner,5,Hyderabad,20.14 kmpl,1498 CC,88.8 bhp
Maruti Ertiga VXI,2015,18.61,18.21,18.36,11918,Petrol,Trustmark Dealer,Manual,First Owner,5,Jaipur,17.0 kmpl,1896 CC,105 bhp
Hyundai Grand i10 Magna AT,2017,7.7,7.3,7.45,10510,Petrol,Dealer,Automatic,First Owner,5,Chennai,19.2 kmpl,1461 CC,65 bhp
Chevrolet Beat LT Option,2016,35.96,35.56,35.71,41000,Petrol,Dealer,Manual,First Owner,7,Ahmedabad,11.36 kmpl,2755 CC,171.5 bhp
Toyota Fortuner 4x2 AT,2017,35.96,35.56,35.71,47162,Diesel,Trustmark Dealer,Automatic,First Owner,5,Bangalore,18.88 kmpl,1995 CC,184 bhp
Maruti S-Cross Zeta DDiS 200 SH,2015,36.23,35.83,35.98,45974,Diesel,Trustmark Dealer,Manual,First Owner,5,Jaipur,27.3 kmpl,1498 CC,98.6 bhp
Hyundai i10 Magna,2012,6.95,6.55,6.7,49824,Petrol,Dealer,Manual,First Owner,5,Kochi,25.8 kmpl,1498 CC,98.6 bhp
Audi A6 2.0 TDI Premium Plus,2013,23.15,22.75,22.9,58500,Diesel,Dealer,Automatic,First Owner,5,Kochi,16.36 kmpl,2179 CC,187.7 bhp
Hyundai Santro GS,2005,20.45,20.05,20.2,56580,Petrol,Dealer,Manual,First Owner,5,Coimbatore,26.59 kmpl,1248 CC,74 bhp
Skoda Laura Ambiente 2.0 TDI CR MT,2012,13.74,13.34,13.49,52000,Diesel,Dealer,Manual,First Owner,5,Jaipur,17.1 kmpl,1956 CC,170 bhp
Hyundai Verna 1.6 VTVT SX,2015,20.91,20.51,20.66,55340,Petrol,Trustmark Dealer,Manual,First Owner,5,Pune,12.5 kmpl,1794 CC,132 bhp
Maruti Swift Dzire VDI,2017,6.76,6.36,6.51,46507,Diesel,Trustmark Dealer,Manual,First Owner,5,Kolkata,17.0 kmpl,1497 CC,118 bhp
Renault Duster 85PS Diesel RxL,2013,12.48,12.08,12.23,1000,Diesel,Dealer,Manual,Second Owner,5,Chennai,18.6 kmpl,1197 CC,85.8 bhp
Mercedes-Benz C-Class Progressive C 220d,2018,18.61,18.21,18.36,10000,Diesel,Dealer,Automatic,First Owner,5,Coimbatore,22.32 kmpl,1582 CC,126.32 bhp
Audi A4 3.0 TDI Quattro,2013,5.71,5.31,5.46,86000,Diesel,Dealer,Automatic,First Owner,7,Jaipur,15.96 kmpl,2523 CC,62.1 bhp
BMW X5 xDrive 30d xLine,2019,8.93,8.53,8.68,30000,Diesel,Dealer,Automatic,First Owner,5,Chennai,22.9 kmpl,1248 CC,74 bhp
Hyundai Creta 1.6 CRDi SX,2016,6.8,6.4,6.55,52600,Diesel,Individual,Manual,First Owner,5,Chennai,17.0 kmpl,1086 CC,null bhp
Maruti SX4 Vxi BSIV,2012,14.68,14.28,14.43,110000,Petrol,Individual,Manual,Second Owner,5,Hyderabad,17.68 kmpl,1968 CC,174.33 bhp
Hyundai Grand i10 1.2 Kappa Magna AT,2017,12.35,11.95,12.1,19890,Petrol,Dealer,Automatic,First Owner,5,Chennai,13.8 kmpl,1299 CC,70 bhp
Maruti Swift ZXI BSIV,2016,22.83,22.43,22.58,7104,Petrol,Trustmark Dealer,Manual,First Owner,5,Coimbatore,20.14 kmpl,1498 CC,88 bhp
Maruti Ertiga VXI,2015,30.61,30.21,30.36,11918,Petrol,Trustmark Dealer,Manual,First Owner,7,Coimbatore,13.6 kmpl,2523 CC,63 bhp
Hyundai Grand i10 Magna AT,2017,14.89,14.49,14.64,10510,Petrol,Dealer,Automatic,First Owner,5,Coimbatore,25.1 kmpl,1498 CC,98.6 bhp
Chevrolet Beat LT Option,2016,7.85,7.45,7.6,41000,Petrol,Dealer,Manual,First Owner,5,Kolkata,18.2 kmpl,1199 CC,82.5 bhp
